Customer.ID,mean_profit,mean_sales,RFM
AA-103151,1.2875999999999976,144.5,一般挽留客户
AA-103152,35.5460625,381.5625,重点保持客户
AA-103153,45.791999999999994,126.6,一般发展客户
AA-103154,-32.98931818181818,505.90909090909093,高价值客户
AA-103751,64.21499999999999,267.44444444444446,重点挽留客户
AA-103752,-8.608285714285714,80.0,一般发展客户
AA-103753,-10.689272727272733,169.1818181818182,一般保持客户
AA-103754,18.492160000000002,70.4,一般保持客户
AA-104801,100.23140000000001,991.0,重点发展客户
AA-104802,19.099650000000004,525.3,重点发展客户
AA-104803,28.826287999999998,470.4,重点发展客户
AA-104804,36.31895,149.33333333333334,一般价值客户
AA-106451,65.7533125,219.33333333333334,重点保持客户
AA-106452,13.691062500000001,170.625,一般价值客户
AA-106453,26.433280000000003,150.86666666666667,一般保持客户
AA-106454,47.65573888888889,282.6111111111111,重点保持客户
AA-3151,4.29,11.0,一般发展客户
AA-3152,75.89657142857142,319.14285714285717,重点挽留客户
AA-3751,8.247,60.833333333333336,一般发展客户
AA-3752,11.28,27.0,一般发展客户
AA-3753,2.7800000000000007,43.5,一般发展客户
AA-4801,5.136,99.2,一般发展客户
AA-4802,488.1,1085.0,重点发展客户
AA-4803,10.208249999999996,120.5,一般发展客户
AA-6451,-54.694399999999995,100.2,一般保持客户
AA-6452,70.69,155.0,一般挽留客户
AB-100151,53.71840909090909,323.09090909090907,高价值客户
AB-100152,46.78725,254.83333333333334,高价值客户
AB-100153,49.61,169.64285714285714,一般保持客户
AB-100154,21.55775,147.83333333333334,一般发展客户
AB-100601,24.63664615384615,162.07692307692307,一般保持客户
AB-100602,145.7237142857143,477.85714285714283,重点发展客户
AB-100603,58.90147368421052,274.2105263157895,重点保持客户
AB-100604,114.14380555555555,430.94444444444446,重点保持客户
AB-101051,103.68621428571429,307.7857142857143,高价值客户
AB-101052,21.30138461538462,226.84615384615384,重点保持客户
AB-101053,-17.381066666666666,82.26666666666667,一般保持客户
AB-101054,272.240275,723.8,重点保持客户
AB-101501,23.19825,107.25,一般发展客户
AB-101502,77.65476923076923,703.0,重点保持客户
AB-101503,36.013866666666665,140.16666666666666,一般保持客户
AB-101504,26.138308333333338,80.75,一般保持客户
AB-101651,57.8784,343.5,重点发展客户
AB-101652,60.12695454545454,292.59090909090907,重点保持客户
AB-101653,34.51333333333333,111.33333333333333,一般挽留客户
AB-101654,15.772357142857143,79.57142857142857,一般保持客户
AB-102551,-58.66244,285.1333333333333,高价值客户
AB-102552,29.195,105.44444444444444,一般发展客户
AB-102553,20.625066666666665,309.6,重点保持客户
AB-102554,18.89767857142857,65.28571428571429,一般价值客户
AB-1051,5.205,48.5,一般发展客户
AB-1052,12.51,32.0,一般发展客户
AB-1053,-48.25090909090909,181.45454545454547,一般保持客户
AB-106001,107.26374000000001,476.53333333333336,高价值客户
AB-106002,-55.92166666666667,475.1111111111111,重点发展客户
AB-106003,12.443333333333333,62.833333333333336,一般挽留客户
AB-106004,-34.37005,189.375,一般挽留客户
AB-1501,107.76750000000001,393.125,重点发展客户
AB-151,64.44,354.1666666666667,重点发展客户
AB-152,96.17999999999999,413.5,重点发展客户
AB-1651,17.61,80.0,一般挽留客户
AB-1652,78.0,411.0,重点发展客户
AB-1653,-1.324799999999998,165.6,一般挽留客户
AB-2551,71.56363636363636,371.1818181818182,高价值客户
AB-2552,28.98,141.5,一般挽留客户
AB-2553,-21.654,156.5,一般发展客户
AB-6001,12.074285714285715,65.9047619047619,一般保持客户
AB-6002,142.218,805.4,重点发展客户
AB-601,137.19959999999998,296.6,重点挽留客户
AB-602,-36.68,47.833333333333336,一般发展客户
AC-104201,59.145725,340.5,高价值客户
AC-104202,26.78475,129.125,一般发展客户
AC-104203,-43.694133333333326,304.06666666666666,重点保持客户
AC-104204,-12.426840000000002,185.2,一般发展客户
AC-104501,288.80655,951.25,重点挽留客户
AC-104502,102.36500000000001,382.5,重点挽留客户
AC-104503,-30.841333333333335,115.66666666666667,一般发展客户
AC-104504,151.77886666666666,614.3333333333334,重点挽留客户
AC-106151,52.229825,239.70833333333334,重点保持客户
AC-106152,-35.901818181818186,248.9090909090909,重点保持客户
AC-106153,0.2710566666666665,141.58333333333334,一般保持客户
AC-106154,16.601516666666665,141.0,一般保持客户
AC-106601,-7.709640000000002,235.0,重点挽留客户
AC-106602,-9.764000000000001,248.22222222222223,重点发展客户
AC-106603,-56.25818133333334,145.93333333333334,一般保持客户
AC-106604,-4.783399999999999,109.66666666666667,一般发展客户
AC-4201,10.0106,56.06666666666667,一般保持客户
AC-4202,14.566000000000003,141.5,一般发展客户
AC-4501,20.445,167.5,一般发展客户
AC-4502,17.16,73.5,一般发展客户
AC-4503,-60.323249999999994,52.5,一般发展客户
AC-6151,-62.693999999999996,243.71428571428572,重点发展客户
AC-6152,14.391818181818183,53.90909090909091,一般保持客户
AC-6601,103.73142857142857,380.85714285714283,重点发展客户
AC-6602,0.75,10.0,一般发展客户
AD-101801,-1.3619842105263116,484.6842105263158,重点保持客户
AD-101802,19.97975,166.83333333333334,一般发展客户
AD-101803,8.682400000000001,154.1,一般发展客户
AD-101804,155.82745000000003,508.8333333333333,重点保持客户
AD-1801,3.45,12.0,一般发展客户
AD-1802,-73.45885714285714,95.57142857142857,一般挽留客户
AF-108701,-11.434041666666667,299.80555555555554,重点保持客户
AF-108702,-19.144666666666662,867.5555555555555,重点挽留客户
AF-108703,100.1014,291.6,高价值客户
AF-108704,19.8732,128.25,一般保持客户
AF-108851,49.9725,379.40909090909093,重点保持客户
AF-108852,35.441538461538464,226.15384615384616,高价值客户
AF-108853,68.34381866666668,308.06666666666666,重点保持客户
AF-108854,-23.302500000000002,123.14285714285714,一般发展客户
AF-8701,22.37,74.66666666666667,一般挽留客户
AF-8702,21.9,62.5,一般发展客户
AF-8703,49.516999999999996,150.16666666666666,一般挽留客户
AF-8851,16.23,69.5,一般发展客户
